Departamento,year,Valor
Distrito Capital de Bogotá,2020.0,47619637.814492576
Distrito Capital de Bogotá,2021.0,46057038.296626434
Guainía,2018.0,67900944.25
Guainía,2019.0,87236609.59375
Guainía,2020.0,38645093.45192308
Guainía,2021.0,46614731.54
Guaviare,2017.0,50485136.89473684
Guaviare,2018.0,56576481.0990099
Guaviare,2019.0,63113749.7972973
Guaviare,2020.0,43245918.30679157
Guaviare,2021.0,41415021.16284987
Huila,2017.0,33522186.976190478
Huila,2018.0,40726987.92021759
Huila,2019.0,43058778.33055556
Huila,2020.0,43688951.07577193
Huila,2021.0,36273779.35157279
La Guajira,2017.0,49283645.5
La Guajira,2018.0,46833871.906040266
La Guajira,2019.0,46599638.816
La Guajira,2020.0,54619479.45358789
La Guajira,2021.0,47175251.63727455
Magdalena,2017.0,28615269.860465117
Magdalena,2018.0,25322093.16009558
Magdalena,2019.0,30208253.863768116
Magdalena,2020.0,39415795.319262624
Magdalena,2021.0,26363679.91133439
Meta,2017.0,31857139.817307692
Meta,2018.0,28867665.049300957
Meta,2019.0,34665086.665151514
Meta,2020.0,37312822.339758046
Meta,2021.0,29899420.463674277
Nariño,2017.0,56183645.114285715
Nariño,2018.0,40488943.88133141
Nariño,2019.0,46986374.98734177
Nariño,2020.0,43674547.043513514
Nariño,2021.0,26959028.291968945
No Definido,2016.0,13679366.615384616
No Definido,2017.0,40852375.41947565
No Definido,2018.0,56164765.89626556
No Definido,2019.0,65917711.03991131
No Definido,2020.0,70111296.44148937
No Definido,2021.0,64010729.84908137
Norte de Santander,2017.0,30323631.839285713
Norte de Santander,2018.0,36023980.3814433
Norte de Santander,2019.0,38481860.313653134
Norte de Santander,2020.0,54347714.784385026
Norte de Santander,2021.0,27041797.881770834
Putumayo,2017.0,36361984.375
Putumayo,2018.0,43595964.414096914
Putumayo,2019.0,47087341.387471
Putumayo,2020.0,39796312.59146342
Putumayo,2021.0,31174496.316421896
Quindío,2017.0,32103220.638888888
Quindío,2018.0,34645621.73060345
Quindío,2019.0,25600451.537549406
Quindío,2020.0,16503216.311660778
Quindío,2021.0,18326905.03736597
Risaralda,2017.0,24875747.977272727
Risaralda,2018.0,41808384.59477124
Risaralda,2019.0,53978046.22082019
Risaralda,2020.0,27319015.30807275
Risaralda,2021.0,28617140.09367159
"San Andrés, Providencia y Santa Catalina",2017.0,62548561.333333336
"San Andrés, Providencia y Santa Catalina",2018.0,44789303.33136094
"San Andrés, Providencia y Santa Catalina",2019.0,47161971.1182266
"San Andrés, Providencia y Santa Catalina",2020.0,27832509.339164786
"San Andrés, Providencia y Santa Catalina",2021.0,22076129.45891089
Santander,2016.0,12330000.0
Santander,2017.0,17426564.66937945
Santander,2018.0,21331764.13447251
Santander,2019.0,29126064.886044927
Santander,2020.0,41941235.66677205
Santander,2021.0,28590958.703149773
Sucre,2017.0,32428881.833333332
Sucre,2018.0,46589698.45714286
Sucre,2019.0,69890578.00722022
Sucre,2020.0,39451926.05213533
Sucre,2021.0,33012684.509172354
Tolima,2016.0,19304712.0
Tolima,2017.0,49767804.05833333
Tolima,2018.0,30084982.154490106
Tolima,2019.0,46239973.37450312
Tolima,2020.0,38793249.88089271
Tolima,2021.0,38379063.788150005
Valle del Cauca,2016.0,2314333.3333333335
Valle del Cauca,2017.0,52229107.591836736
Valle del Cauca,2018.0,39216897.097822845
Valle del Cauca,2019.0,24366719.356418017
